ParticipantID,TrialNum,Modality,Task,Dataset,ModalityOrder,TaskOrder,DatasetOrder,Repetition,Target,CorrectAnswer,UserAnswer,UserStartTime,UserEndTime,Drop Notes,Pick up phys,Use body reference frame
104,22,physical,range,2-0,1,0,1,1,G8,1073-1809,1200-1800,1691172107,1691172132,,Pick Up,
104,23,physical,range,2-0,1,0,1,2,B3,1150-1805,1000-1600,1691172134,1691172157,,Pick Up,Multiple Fingers
104,24,physical,range,2-0,1,0,1,3,A7,1797-2345,1800-2250,1691172158,1691172191,,Pick Up,Multiple Fingers
104,25,2d,advect,0-0,2,2,0,training1,C7,02:48,02:50,1691172556,1691172599,,,
104,26,2d,advect,2-0,2,2,1,1,C7,07:23,10:00,1691172634,1691172675,,,
104,27,2d,advect,2-0,2,2,1,2,D9,09:41,06:15,1691172677,1691172717,,,
104,28,2d,advect,2-0,2,2,1,3,A7,08:20,08:30,1691172720,1691172767,,,
104,29,2d,range,0-0,2,0,0,training1,C7,330-885,300-900,1691172836,1691172872,,,
104,30,2d,range,2-0,2,0,1,1,B5,1409-2165,1360-2180,1691172900,1691172959,,,
104,31,2d,range,2-0,2,0,1,2,D9,1752-2334,1700-2280,1691172962,1691173006,,,
104,32,2d,range,2-0,2,0,1,3,E7,1323-2040,1350-2000,1691173017,1691173051,,,
104,33,2d,compare,0-0,2,1,0,training1,J4-C6-E10,J4,J4,1691173089,1691173110,,,
104,34,2d,compare,2-0,2,1,1,1,D5-G8-G3,G3,G3,1691173131,1691173149,,,
104,35,2d,compare,2-0,2,1,1,2,B3-J7-E1,E1,E1,1691173152,1691173166,,,One Finger
104,36,2d,compare,2-0,2,1,1,3,H5-C9-D2,H5,H5,1691173169,1691173198,,,One Finger
105,1,3d,range,0-0,0,0,0,training1,J5,137-393,200-450,1691426559,1691426588,,,
105,2,3d,range,0-2,0,0,1,1,A10,302-1215,100-1150,1691426627,1691426667,,,
105,3,3d,range,0-2,0,0,1,2,B2,826-1163,800-1200,1691426669,1691426714,,,
105,4,3d,range,0-2,0,0,1,3,J4,353-1060,400-1100,1691426715,1691426745,,,
105,5,3d,compare,0-0,0,1,0,training1,D8-C1-J7,C1,C1,1691426787,1691426817,,,
105,6,3d,compare,0-2,0,1,1,1,F9-G4-J1,F9,F9,1691426833,1691426855,,,
105,7,3d,compare,0-2,0,1,1,2,B5-J3-J8,J8,J8,1691426857,1691426875,,,
105,8,3d,compare,0-2,0,1,1,3,H10-G6-B6,B6,B6,1691426877,1691426906,,,
105,9,3d,advect,0-0,0,2,0,training1,A6,04:30,04:00,1691426993,1691427016,,,
105,10,3d,advect,0-2,0,2,1,1,B4,03:23,02:55,1691427052,1691427090,,,
105,11,3d,advect,0-2,0,2,1,2,G10,09:28,07:50,1691427096,1691427127,,,
105,12,3d,advect,0-2,0,2,1,3,E5,05:05,05:30,1691427129,1691427168,,,
105,13,2d,compare,0-0,1,1,0,training1,F1-E6-J9,E6,E6,1691427732,1691427753,,,
105,14,2d,compare,0-2,1,1,1,1,I10-I2-A10,I10,I10,1691427775,1691427812,,,
105,15,2d,compare,0-2,1,1,1,2,F3-D9-B1,D9,D9,1691427813,1691427873,,,
105,16,2d,compare,0-2,1,1,1,3,I9-B9-H4,I9,I9,1691427876,1691427921,,,
105,17,2d,advect,0-0,1,2,0,training1,A8,05:26,05:45,1691428001,1691428047,,,
105,18,2d,advect,0-2,1,2,1,1,F2,08:09,10:40,1691428073,1691428110,,,One Finger
105,19,2d,advect,0-2,1,2,1,2,I2,09:57,07:40,1691428115,1691428163,,,
105,20,2d,advect,0-2,1,2,1,3,A10,01:15,01:25,1691428164,1691428207,,,One Finger
105,21,2d,range,0-0,1,0,0,training1,A6,449-742,440-720,1691428375,1691428420,,,
105,22,2d,range,0-2,1,0,1,1,B4,658-1045,650-1060,1691428485,1691428523,,,
105,23,2d,range,0-2,1,0,1,2,E5,623-1095,630-1130,1691428526,1691428561,,,
105,24,2d,range,0-2,1,0,1,3,G10,309-1032,250-1050,1691428563,1691428601,,,
105,25,physical,advect,0-0,2,2,0,training1,D9,09:06,09:30,1691428929,1691428949,,,
105,26,physical,advect,0-2,2,2,1,1,B2,09:29,09:30,1691428989,1691429006,,Pick Up,
105,27,physical,advect,0-2,2,2,1,2,J4,06:04,06:05,1691429011,1691429025,,Pick Up,
105,28,physical,advect,0-2,2,2,1,3,C8,10:07,07:30,1691429027,1691429072,,Pick Up,
105,29,physical,range,0-0,2,0,0,training1,C7,330-885,300-1000,1691429126,1691429163,,,
105,30,physical,range,0-2,2,0,1,1,I2,495-990,500-1050,1691429190,1691429237,,Pick Up,
105,31,physical,range,0-2,2,0,1,2,F2,348-856,280-780,1691429238,1691429275,,Pick Up,
105,32,physical,range,0-2,2,0,1,3,C8,630-1095,500-980,1691429276,1691429328,,Pick Up,
105,33,physical,compare,0-0,2,1,0,training1,H2-B2-E5,H2,H2,1691429369,1691429379,,,
105,34,physical,compare,0-2,2,1,1,1,A1-I1-B8,I1,I1,1691429399,1691429416,,Pick Up,One Finger
105,35,physical,compare,0-2,2,1,1,2,B2-G10-J5,J5,J5,1691429417,1691429446,,Pick Up,Multiple Fingers
105,36,physical,compare,0-2,2,1,1,3,E6-H9-J2,H9,E6,1691429447,1691429485,,Pick Up,Multiple Fingers
106,1,physical,range,0-0,0,0,0,training1,F10,536-1797,600-1800,1691439461,1691439501,,,
106,2,physical,range,0-1,0,0,1,1,G6,647-1276,500-1100,1691439577,1691439671,,Pick Up,
106,3,physical,range,0-1,0,0,1,2,B8,723-1283,760-1300,1691439700,1691439758,,Pick Up,
106,4,physical,range,0-1,0,0,1,3,E6,948-1472,680-1380,1691439767,1691439829,,Pick Up,
106,5,physical,compare,0-0,0,1,0,training1,A9-C5-G4,G4,G4,1691439956,1691439984,,,
106,6,physical,compare,0-1,0,1,1,1,D6-J2-A10,A10,A10,1691440010,1691440089,,Pick Up,Multiple Fingers
106,7,physical,compare,0-1,0,1,1,2,B1-A5-J5,J5,J5,1691440098,1691440162,,Pick Up,Multiple Fingers
106,8,physical,compare,0-1,0,1,1,3,D10-H8-D3,H8,D10,1691440166,1691440235,,Pick Up,Multiple Fingers
